SALLVLT,SALLVLTMagnitude
"$30,000 - $39,999",40789
"$40,000 - $49,999",29706
"$20,000 - $29,999",26970
"$50,000 - $59,999",25502
"$60,000 - $69,999",19480
"$70,000 - $79,999",19003
"$90,000 - $99,999",14905
"$80,000 - $89,999",14182
"$100,000 - $109,999",10369
"$110,000 - $119,999",8683
"$120,000 - $129,999",5366
"$130,000 - $139,999",5096
"$150,000 - $159,999",4567
"$180,000 or more",3065
"$140,000 - $149,999",2587
"Less than $20,000",1961
"$160,000 - $169,999",1603
Unspecified or Zero,1350
"$170,000 - $179,999",945
